Age,Gender,Income,Credit Score,Loan Amount,Years at Current Job,Debt-to-Income Ratio,Assets Value,Number of Dependents,Risk Rating
67,Non-binary,77205,755,16522,10,0.472913225,,1,Low
35,Non-binary,61524,655,19045,3,0.174365881,71934,2,Medium
41,Non-binary,45688,725,25161,2,0.578168531,278720,4,Low
63,Non-binary,23239,609,25885,7,0.182543781,271117,3,Low
52,Male,115614,705,40230,19,0.146507048,199347,2,Low
38,Female,94996,,45575,11,0.505215926,246763,2,Low
45,Female,61277,707,13684,2,0.413014932,62636,2,Low
57,Male,,631,9538,6,0.245633586,,0,Low
38,Female,100004,717,7111,19,0.59923243,234330,3,Medium
58,Non-binary,58237,674,5579,17,0.342635888,290940,2,Low
40,Male,82355,637,24450,2,0.390510607,29864,0,Low
66,Non-binary,88197,752,9929,8,0.179018251,294374,1,Medium
63,Female,85930,745,42463,16,0.518613165,138092,4,Low
62,Female,110688,737,5166,5,0.355204865,166541,0,Medium
28,Female,55568,630,48319,6,0.432769899,,4,Low
55,Non-binary,91054,717,44771,3,0.508612144,165407,3,Low
51,Male,42184,704,23154,3,0.250542293,155898,4,Low
40,Male,104239,681,16837,19,0.586428879,185619,,Medium
39,Female,70294,,14110,6,0.318535497,56318,3,High
50,Male,94534,695,45882,1,0.412231307,111865,,Low
44,Female,99837,763,33201,2,0.335366193,141001,4,Medium
20,Female,38648,715,7860,12,0.476712743,24642,,Medium
67,Female,78642,600,,9,0.139666267,81429,2,Medium
64,Non-binary,106066,649,17113,0,0.417498596,142900,4,Low
53,Male,,723,,1,0.338337767,142758,,Low
49,Male,36447,679,48657,7,0.348973667,135143,,Low
58,Female,27141,744,39730,9,0.31626146,235658,1,Low
64,Male,46558,650,17349,3,0.35253524,182318,3,Low
44,Female,47559,650,33943,16,0.265986429,222547,,Medium
44,Female,31957,715,41880,3,0.579906276,227963,3,Low
36,Female,117773,680,37996,6,0.225135306,215412,4,Medium
50,Non-binary,86572,708,14160,1,0.51045504,181739,2,Medium
39,Female,32683,764,30935,1,0.466914274,34750,2,Low
49,Female,68355,787,16093,4,0.358147417,72631,2,Low
51,Male,65906,,,4,0.14908911,214602,1,Low
27,Male,64280,657,15401,11,0.570133449,,4,Medium
51,Non-binary,77266,636,9226,17,0.385136946,,4,Low
22,Male,57142,691,,4,0.286839328,23879,1,Medium
31,Male,113749,683,24670,16,0.463828705,285741,0,Low
58,Non-binary,60533,672,21961,4,0.293685431,214730,4,Low
24,Male,118704,746,8790,5,0.240992255,,3,Low
32,Non-binary,67236,,,5,0.310362188,138594,2,Low
34,Female,57204,713,23615,1,0.335450735,135551,2,Low
58,Non-binary,118743,,31555,14,0.342312817,85408,4,Low
37,Female,50008,763,,16,0.4772192,168102,3,Low
68,Male,81377,671,27294,6,0.324757997,103570,4,Medium
55,Female,104886,791,45636,12,0.536542092,,2,Low
61,Female,34239,,38031,17,0.32235808,104520,,Low
24,Female,84802,,10980,4,0.597064644,94607,1,Medium
47,Male,65177,,28214,0,0.224430836,57606,1,Low
52,Female,103035,,42309,18,0.594047181,110790,0,High
69,Male,112862,729,,11,0.177525582,264882,3,Low
59,Male,72967,,13897,3,0.594769167,163669,2,Low
53,Male,50028,704,48831,8,0.593841456,31424,0,Low
69,Male,81726,,30109,14,0.294765009,204154,,Low
18,Male,75467,,10287,9,0.363474187,103962,0,Low
28,Male,59479,609,49962,6,0.231363613,139936,1,Medium
31,Non-binary,70808,770,,7,0.521892216,69357,3,Low
62,Non-binary,42369,764,8916,4,0.110774419,172757,2,Low
69,Female,23415,719,34713,14,0.430613915,258196,2,Low
53,Non-binary,,612,10504,10,0.132946719,277535,,Low
53,Non-binary,82969,625,8488,6,0.437510687,54530,3,Low
37,Male,87238,694,33491,0,0.295998766,164875,1,Low
48,Female,,612,6471,4,0.472730998,284615,2,High
54,Male,81276,719,35106,8,0.183147788,207728,0,Medium
50,Female,55958,,36154,13,0.565623089,153605,1,Medium
35,Non-binary,95138,712,5391,3,0.292884332,,0,Low
64,Female,97850,722,22349,2,0.49718931,84277,0,Medium
60,Male,102092,731,33807,12,0.109269604,,4,Low
28,Non-binary,,634,,8,0.441817175,256455,0,Low
30,Male,74607,716,32577,13,0.579881321,148715,4,Low
61,Male,29651,,44749,18,0.233123614,119823,3,Medium
21,Male,45176,694,8480,10,0.393710777,271860,,Low
18,Male,100350,730,41649,16,0.594543016,167172,2,High
61,Non-binary,83788,654,30895,12,0.373320238,113307,,Low
64,Non-binary,80384,759,,13,0.228820752,294485,1,Medium
31,Female,35640,630,12649,16,0.498691034,33121,3,Medium
67,Non-binary,110534,,,12,0.299460187,213221,2,Medium
47,Male,70646,769,32503,12,0.595111607,49616,2,Low
29,Non-binary,76342,613,25436,15,0.249499323,248335,1,High
38,Male,,653,35303,17,0.383522103,52714,2,High
56,Male,30515,746,31287,12,0.461538772,132289,0,Medium
46,Male,20093,681,47765,2,0.213272337,167295,0,Medium
24,Female,83440,765,25358,9,0.119725801,285619,1,Medium
58,Non-binary,83627,793,22791,13,0.160753304,50328,2,Low
29,Male,75735,725,26814,8,0.291794317,231409,0,Low
18,Male,,610,31659,0,0.258608023,288056,4,Low
51,Non-binary,22606,776,18555,6,0.496748379,248782,,Low
55,Female,90726,694,15589,18,0.383801874,136060,1,Low
40,Female,20184,,37609,13,0.183543732,,1,Low
23,Non-binary,34628,,47658,17,0.110006319,128471,4,Medium
26,Female,90246,654,,12,0.158830441,32488,1,Low
47,Female,74176,732,,15,0.139504932,39214,3,Low
53,Non-binary,33102,653,8038,8,0.159225266,252864,3,High
60,Male,81483,622,,14,0.47061575,180176,,Medium
53,Female,28611,681,49602,8,0.31016764,47069,,Low
51,Male,71542,,,18,0.435321426,,,Low
48,Female,,673,12398,8,0.102404031,50607,4,Low
25,Female,106053,756,48496,11,0.505964351,,1,Low
21,Male,107399,625,31875,4,0.11026171,135252,1,Low
43,Male,117267,738,,17,0.591523585,135785,1,Low
68,Male,,745,11614,8,0.307341389,227473,4,Medium
39,Non-binary,103697,614,28889,14,0.159243317,115678,3,Low
53,Non-binary,,762,39819,7,0.414989806,220379,,Low
29,Male,,,46613,14,0.217784326,68306,0,Low
19,Female,75491,614,6912,4,0.574335076,29698,1,Low
36,Female,87573,606,18457,15,0.46410753,,3,Low
52,Female,87309,679,,5,0.473135534,,1,Low
49,Male,71932,730,32692,13,0.385809621,260913,2,Medium
55,Non-binary,43434,790,15426,15,0.468639008,281993,1,Medium
51,Non-binary,26406,,11317,15,0.126208294,274103,1,High
24,Non-binary,65168,610,43992,10,0.220287687,39793,4,Low
51,Female,,677,6156,15,0.58032295,165875,2,Medium
52,Female,110576,722,17926,11,0.353610091,158653,3,Low
47,Female,62987,730,30644,5,0.286519129,153025,,Low
54,Male,98821,770,28664,7,0.323437776,94407,1,High
32,Male,46897,675,9358,13,0.410679951,286267,2,Low
56,Male,62427,694,17425,8,0.505040598,,4,Low
25,Non-binary,79090,677,48117,15,0.365511847,,3,Low
41,Non-binary,76389,687,26031,13,0.182989567,138207,4,Medium
33,Non-binary,57471,632,23350,17,0.150864621,170350,2,Medium
48,Male,68957,637,10063,0,0.106281024,167519,2,Medium
21,Male,99183,601,,15,0.17666789,,0,Low
43,Non-binary,,670,45427,15,0.282093325,96848,0,Medium
20,Non-binary,111149,,49108,8,0.195608527,21289,4,Low
23,Male,112057,,25242,19,0.533201758,249198,3,Low
49,Non-binary,41698,720,32103,5,0.171839385,,4,Low
23,Non-binary,76049,799,7879,8,0.278620979,280597,3,Low
26,Male,32770,707,42630,6,0.231359594,87512,4,Medium
62,Female,44524,659,48687,2,0.534816634,,3,Low
33,Male,74895,681,47271,9,0.201733352,60165,2,Low
41,Non-binary,88354,733,17985,1,0.117135615,33514,0,Low
68,Female,29088,,17501,6,0.350045211,289550,1,Low
43,Female,55447,614,13330,10,0.398712016,154124,,Low
64,Female,34988,716,21847,0,0.132421715,163213,3,Low
57,Female,86778,,49289,2,0.270286879,226794,2,Low
35,Non-binary,34425,679,25431,6,0.411886576,284837,,Low
38,Male,35804,,14757,8,0.143959066,186505,,Medium
50,Non-binary,41200,741,18236,5,0.587535556,,0,Low
28,Male,,771,21660,17,0.21140212,192519,3,Low
37,Non-binary,83027,622,22143,8,0.562423381,210540,,Medium
54,Non-binary,,777,15410,19,0.314785932,160109,4,Low
33,Male,106916,703,46904,19,0.245849448,,3,Low
18,Non-binary,71312,,27778,14,0.297193912,261598,0,Low
48,Non-binary,47617,,41160,4,0.242741234,299489,0,Low
62,Female,72955,607,,9,0.233504728,144129,,Low
35,Non-binary,,653,30905,11,0.56327453,21712,2,Low
39,Non-binary,104480,775,6119,3,0.512945859,242511,2,Medium
57,Female,62912,776,23898,18,0.174544036,73140,4,Low
53,Female,53000,629,38463,3,0.555361989,181801,1,Medium
38,Male,27717,629,27839,8,0.561941881,49615,,Low
58,Non-binary,72536,767,49487,2,0.566768446,101128,2,Medium
55,Male,64828,789,42223,4,0.241227782,86025,3,Medium
30,Female,38226,,37355,18,0.286216555,25522,3,Medium
27,Non-binary,77600,634,16332,13,0.577117303,115070,1,Medium
39,Male,105997,651,21997,7,0.357251495,193423,3,Low
52,Female,32318,738,24042,6,0.11963685,228259,0,Low
25,Non-binary,104731,,16674,4,0.530576061,148097,1,Low
31,Non-binary,27447,,48911,12,0.587173495,221931,1,Medium
26,Female,101478,,29273,1,0.537395669,27208,,Low
46,Non-binary,33156,774,38784,10,0.135872008,,4,Low
20,Female,,,,0,0.140189028,46199,0,High
21,Female,,,20458,18,0.218245284,272478,1,High
56,Male,110351,,,8,0.512899385,84595,,Medium
33,Male,89833,625,15065,10,0.205846084,177248,4,High
59,Male,95186,704,17705,8,0.541979045,243505,3,Medium
51,Female,,706,37636,1,0.574803771,87559,0,Medium
50,Female,69339,611,24500,11,0.499842651,47620,2,Medium
65,Non-binary,73790,,46147,15,0.323533999,53673,,Low
53,Non-binary,98731,746,10335,1,0.324386012,232793,4,Low
66,Non-binary,30273,795,47919,17,0.501425578,190375,0,Low
63,Male,49665,674,10298,7,0.338376189,125549,0,High
31,Male,53709,712,8961,11,0.377910241,46271,3,Low
25,Non-binary,35839,,41437,0,0.579058814,66106,,Low
51,Male,59137,699,,3,0.117507816,164698,1,Medium
42,Female,90784,624,29989,6,0.424968815,101339,3,Medium
25,Male,81040,,49049,0,0.431968537,23663,1,Low
53,Female,27282,632,32759,5,0.233079994,40730,4,Low
28,Female,85951,662,20685,16,0.313649939,176640,1,High
26,Female,71055,773,,11,0.34186282,76457,0,High
67,Female,64162,634,9961,8,0.349600707,264500,,Medium
46,Male,61552,655,,14,0.12026197,283575,1,Low
48,Male,29542,627,29284,18,0.348331914,227183,0,High
34,Non-binary,93191,653,11161,17,0.231760842,,1,Medium
53,Non-binary,115446,617,40503,10,0.398021337,125592,2,Medium
43,Male,55844,670,8814,16,0.408651748,,2,Low
54,Male,,,20868,13,0.251147912,270697,4,Low
52,Non-binary,93719,,32151,17,0.229286692,33425,0,Low
40,Male,35324,779,,16,0.256549973,225093,1,Low
46,Non-binary,95877,779,,4,0.118689212,152210,4,Medium
55,Non-binary,,,9167,16,0.542123507,112332,4,Low
47,Male,81690,793,42438,12,0.176022183,119508,3,Low
35,Non-binary,59433,670,40175,19,0.349198261,209448,0,Low
46,Male,33566,666,49211,6,0.494238923,196864,0,Low
44,Female,52527,601,44676,14,0.460466954,259796,,Medium
47,Female,37522,603,31646,15,0.188404379,171012,,Low
64,Male,60733,742,42313,0,0.249456949,55918,0,Low
57,Female,36565,782,43673,10,0.405815048,127216,,Medium
30,Male,30687,735,29432,11,0.540070726,21664,4,High
29,Female,105476,756,40166,19,0.583070367,255729,1,Low
19,Non-binary,82245,758,39825,12,0.313013927,40047,3,Low
53,Female,114319,775,13800,6,0.13647687,,3,Medium
68,Male,108627,759,15764,18,0.185704295,181989,3,Low
69,Non-binary,26584,671,34965,2,0.495338276,176295,3,Low
56,Male,104166,663,37523,14,0.362168253,244472,4,Low
45,Non-binary,,690,6508,13,0.145018541,226320,2,Medium
69,Female,102963,760,42428,5,0.366329744,,0,Low
69,Male,81248,697,32192,15,0.143759406,44435,1,Low
48,Non-binary,,734,46913,8,0.469114814,125175,0,Medium
31,Non-binary,70711,732,30552,18,0.586522221,235495,2,High
29,Female,67301,606,43855,16,0.436407949,146336,3,Medium
49,Female,,680,45676,3,0.489453657,202768,0,Medium
43,Male,,645,,7,0.300161811,231857,2,Low
60,Male,71730,752,46161,7,0.360322419,130256,,Low
67,Non-binary,115887,,44073,12,0.589210537,80145,0,Low
29,Female,42499,753,7158,11,0.136828544,,1,Medium
34,Female,50383,656,35210,3,0.385059501,118420,4,Low
29,Male,88273,671,48226,10,0.147428773,165161,4,Medium
42,Female,50268,,,7,0.5776668,,4,Low
25,Female,48380,,41872,13,0.444708446,163903,,Low
25,Non-binary,107681,777,,8,0.376530367,37630,4,Low
32,Female,45465,697,27355,10,0.164365556,281977,4,Low
23,Non-binary,92161,751,24898,3,0.199952923,182805,2,Medium
25,Male,49485,668,28254,9,0.442864382,,3,Low
59,Male,,,7689,0,0.50536586,216822,,Medium
57,Male,,779,33786,14,0.219227494,274575,,High
20,Male,24015,639,47780,10,0.325109056,81356,4,Medium
35,Male,20059,657,47542,1,0.471863228,265108,1,Low
60,Male,37279,797,7681,8,0.498823955,225246,3,Low
34,Non-binary,87695,686,9777,4,0.234531276,114918,2,Low
45,Non-binary,107856,632,40334,4,0.132443398,79735,2,Low
46,Male,48548,717,13312,14,0.591444165,271567,1,Low
21,Male,108731,641,35164,14,0.174759718,,0,Low
27,Female,34328,655,,14,0.347515328,,,Medium
22,Male,96970,694,36027,3,0.518733937,277897,2,Low
52,Non-binary,98412,655,29587,18,0.582893411,281508,2,Low
57,Male,44204,731,46437,3,0.47008691,171263,0,High
68,Male,86169,793,,14,0.188998953,272468,1,Low
31,Non-binary,,634,42817,17,0.216674925,132636,2,Low
61,Non-binary,61850,695,27303,10,0.385284655,226492,0,Low
26,Male,,,,13,0.183100284,162391,,Low
18,Female,101924,,7023,18,0.385966041,,,Low
37,Male,94873,740,6752,9,0.535058094,291812,,Medium
49,Female,47192,,29630,6,0.219758172,54887,4,Low
64,Female,54052,686,42204,19,0.57826153,195590,0,Low
52,Female,35852,752,8539,1,0.392611893,90940,4,Low
37,Male,55607,686,23689,5,0.154094538,280921,1,Low
63,Male,109761,663,31043,8,0.200808077,,4,Medium
49,Male,71603,,8093,17,0.176260564,156826,4,Low
37,Female,98723,692,12353,19,0.324238249,292433,0,Medium
30,Male,94916,733,19515,16,0.340507247,119791,1,Medium
65,Non-binary,116784,757,29568,16,0.119672068,151504,,Low
38,Female,22175,,26424,3,0.404587304,244316,4,Low
46,Non-binary,45801,721,30788,16,0.517120101,28141,,Low
69,Non-binary,20858,608,36985,3,0.438090683,94108,4,Low
20,Non-binary,,,48241,4,0.557891253,,0,Low
29,Male,56660,640,7120,10,0.229580278,299237,3,Low
47,Male,83038,727,22938,13,0.368668211,231608,1,Low
53,Female,42231,705,,12,0.291129849,168289,2,Medium
37,Non-binary,68359,,31111,8,0.119014591,279150,0,Low
18,Male,99401,745,7866,2,0.193083848,223370,2,Low
45,Male,70756,776,9218,5,0.155990977,271019,2,Medium
23,Female,,608,38891,1,0.143773443,273957,2,Low
35,Male,,759,23923,1,0.216078107,60334,4,Low
39,Non-binary,,687,16399,5,0.124210963,38075,0,Medium
35,Female,98040,686,15135,16,0.261668905,164379,2,Medium
52,Non-binary,63130,611,12690,11,0.41778717,273965,2,Low
29,Male,115881,662,7940,14,0.451744783,98463,3,Medium
27,Non-binary,115190,,6009,17,0.237412688,118418,3,Medium
37,Female,22082,674,48407,2,0.370328612,72608,1,High
26,Male,102446,700,10042,11,0.263500261,294155,3,Low
47,Male,,720,42185,12,0.128001224,,2,Low
67,Non-binary,37580,614,11043,14,0.223982135,,1,Low
39,Female,59008,,22525,1,0.365138986,75579,3,Low
37,Female,61538,701,23855,17,0.528683174,192993,0,Low
54,Non-binary,55885,,13001,13,0.273586811,262280,3,Low
38,Non-binary,100294,622,,5,0.229925743,221510,0,Low
33,Female,79607,704,42380,3,0.360887919,216010,3,Low
43,Female,37215,,,8,0.38003234,183736,0,Low
51,Female,89396,619,29295,19,0.492299676,289392,,Medium
26,Non-binary,51957,612,27500,1,0.594924137,91252,0,Low
20,Non-binary,61041,705,39106,5,0.124241514,,,Low
26,Female,78396,619,34047,13,0.423586041,33239,0,High
53,Non-binary,23992,721,,13,0.567077013,198995,0,Low
34,Male,36593,758,8343,8,0.590827542,20193,0,Low
30,Non-binary,53527,757,21595,6,0.390610109,,,Medium
68,Male,108096,674,7934,1,0.21803103,,4,Low
60,Non-binary,71337,709,37007,16,0.12466493,210063,,Low
34,Male,39417,791,35337,16,0.490393294,169065,0,High
18,Male,117510,669,,7,0.247378349,,,High
54,Female,79739,755,33684,9,0.429309632,94472,3,High
26,Male,72196,789,14443,7,0.207138393,259287,2,Low
37,Male,22466,773,26521,3,0.230750863,,3,Low
41,Non-binary,43640,690,48374,7,0.505390366,293015,0,Medium
34,Female,28219,645,,0,0.134506824,109680,1,Low
29,Male,82958,719,7139,8,0.105994739,110628,1,Low
28,Non-binary,95952,,,19,0.316752779,109931,,Low
66,Non-binary,88879,,39808,4,0.412320293,53090,,Low
20,Male,50341,676,17536,11,0.203661576,136600,3,Medium
59,Non-binary,107513,603,35766,0,0.550110656,164329,4,Low
50,Non-binary,,799,26989,11,0.580115029,258881,4,Low
63,Female,87891,624,,15,0.154523401,77945,1,Medium
65,Male,34234,601,35090,3,0.12994794,223604,2,Low
35,Male,103385,655,34604,3,0.34862181,,3,Low
19,Non-binary,40572,640,43433,16,0.484491943,132386,3,Medium
45,Non-binary,44853,759,28643,12,0.37861375,135567,4,Low
67,Non-binary,,766,6873,16,0.202578087,171003,2,Low
67,Male,47491,688,43859,9,0.566703422,,3,Low
54,Male,101919,794,31563,0,0.37003496,,,Medium
61,Female,20594,780,37811,9,0.469202953,,1,Low
25,Male,,765,14160,6,0.155462342,101959,0,Low
22,Male,27066,682,46543,9,0.332087883,25278,0,Low
18,Male,72092,627,11842,18,0.252601635,84899,0,Low
61,Female,83560,747,8520,12,0.109863583,,1,Low
42,Male,91257,,34132,12,0.41154864,88870,0,Low
62,Female,,607,16944,6,0.467076802,261468,0,Low
26,Non-binary,38077,684,44004,2,0.48855655,197091,2,Low
69,Male,64621,634,43367,12,0.537969024,,1,Low
31,Female,111115,651,8775,11,0.33914534,107437,2,Low
27,Male,58227,627,27628,15,0.384808708,172845,1,Low
67,Female,66275,699,40371,19,0.474711747,75282,4,High
22,Female,84006,644,29050,6,0.57806012,,3,Low
46,Male,,780,,2,0.361432141,181572,0,High
50,Female,109449,784,,19,0.147852193,287721,4,Low
46,Non-binary,117435,638,20452,8,0.24410114,119895,0,Low
66,Male,98342,788,37371,13,0.323923675,101976,3,High
50,Male,21304,699,45308,4,0.310608799,65891,2,Medium
18,Non-binary,76999,779,,13,0.135927086,47403,3,Medium
18,Non-binary,47892,662,28581,11,0.290853932,259607,0,Low
64,Female,47293,657,11572,15,0.20972821,255479,4,Low
33,Non-binary,43371,616,21907,2,0.179443281,266313,3,Low
43,Female,75611,728,7090,5,0.537970916,163944,3,Medium
30,Male,117683,713,15587,14,0.193710514,86147,0,Low
61,Female,46295,726,48485,1,0.299850503,218457,1,Medium
68,Female,115641,722,31798,1,0.557484016,268770,2,Medium
41,Female,31116,,32586,0,0.180865691,,3,Medium
45,Male,48451,,,13,0.518341901,249530,2,Low
52,Male,32521,738,11320,15,0.282948654,58254,,Medium
41,Non-binary,,784,7627,16,0.54089,274118,,Low
35,Female,54263,767,33360,2,0.332077194,97196,3,Medium
44,Male,58059,638,11865,18,0.472796529,206508,0,Low
48,Male,109288,651,23794,10,0.33242355,275864,1,Medium
25,Non-binary,40455,755,21915,13,0.295486605,214805,2,Low
57,Female,41662,612,17918,14,0.317239081,143100,2,Low
53,Male,106538,637,19676,4,0.296182168,67803,0,Medium
33,Female,117393,,17948,17,0.379806617,262244,2,Medium
33,Female,102702,609,14369,14,0.508962041,,0,Low
45,Non-binary,62320,755,34910,11,0.555972428,277041,2,Low
53,Non-binary,29752,687,37001,4,0.421958633,100931,4,Low
47,Female,,,48591,0,0.113698379,,,Low
45,Male,62653,782,13694,8,0.155900302,37920,1,Low
59,Female,80760,760,18369,8,0.131469674,58815,0,Low
19,Male,41283,749,43926,3,0.534618012,,1,Medium
30,Female,57039,658,,5,0.222570399,56982,,High
52,Female,32588,662,,2,0.14461024,43516,4,Low
67,Non-binary,42253,630,22664,14,0.221118167,108738,3,Low
52,Male,,672,31600,9,0.173902227,292080,2,Low
60,Non-binary,23072,,42933,11,0.576669554,22456,3,Medium
64,Male,109606,775,45316,8,0.404855519,258825,1,Medium
50,Female,75820,774,19581,6,0.181247662,264233,3,Medium
19,Male,21379,,30957,2,0.485164041,44526,1,Low
63,Female,62294,606,18074,18,0.317179267,237759,2,Low
45,Non-binary,91062,628,45109,19,0.12643948,295511,0,Low
39,Male,,759,23767,15,0.328441512,205293,4,Low
23,Non-binary,107350,,7871,2,0.53766267,299054,3,Low
65,Female,23185,751,22852,10,0.324432064,87114,3,Medium
67,Female,98104,628,31828,1,0.331317479,166083,1,Medium
62,Female,21511,641,46352,14,0.152119869,161876,4,High
42,Non-binary,,680,21712,2,0.525867706,255393,1,High
62,Non-binary,27297,,47439,19,0.22017804,173911,4,High
51,Male,69376,776,15609,15,0.152601299,195717,2,Low
64,Non-binary,105802,775,29443,14,0.317243057,,2,Low
55,Non-binary,94039,642,26985,9,0.473014178,296561,2,Medium
63,Male,114467,646,33268,16,0.543865259,48786,4,Low
21,Non-binary,82248,,46658,9,0.59139958,72741,0,Low
40,Male,77557,,29055,8,0.579319849,32373,4,Medium
42,Male,62103,762,29596,1,0.137283452,288730,1,Low
45,Male,101673,652,37398,5,0.407692213,75240,2,Low
64,Male,55765,607,7146,1,0.187035291,280331,0,Low
35,Male,103824,735,19030,9,0.119268608,50959,3,Low
35,Male,84409,,48304,13,0.237838452,28717,1,Low
22,Male,,779,16469,19,0.378953175,297502,3,Medium
19,Female,29759,679,36900,3,0.163766743,113509,4,Low
39,Male,53645,660,19746,12,0.466120552,,1,Low
61,Female,24959,658,41336,1,0.558183983,44214,2,Low
28,Male,,624,44830,18,0.53284917,67616,1,Low
50,Male,95768,654,35319,13,0.502764347,67246,4,Medium
69,Non-binary,33225,718,32087,19,0.554542559,90749,1,Medium
20,Non-binary,116220,643,18754,11,0.596391399,29450,4,Low
28,Female,67679,651,22108,2,0.109514878,237227,0,Medium
59,Male,64929,759,18028,10,0.216827849,268917,4,Medium
68,Female,,,33671,1,0.235087468,264912,3,Medium
62,Female,23743,754,19335,10,0.123923499,69077,4,Low
21,Non-binary,46866,616,8734,3,0.584779857,75352,,Medium
65,Male,115014,642,,6,0.201387039,59505,1,Low
24,Non-binary,111068,796,,8,0.248075211,280623,4,Medium
49,Female,102293,742,10332,0,0.442229098,153987,2,Medium
46,Female,109907,676,35060,19,0.317479041,32628,3,Low
38,Non-binary,70354,611,46152,17,0.547083362,91912,1,High
29,Male,37957,720,25367,3,0.268398178,240226,0,Medium
47,Non-binary,86567,,10673,4,0.399594349,,1,Low
45,Female,37085,,6497,17,0.54076179,,2,Medium
29,Non-binary,91622,791,8277,6,0.474804408,,0,Low
42,Non-binary,,648,16715,19,0.301724115,258118,1,Low
68,Male,76831,,24498,14,0.456994638,,2,Low
65,Non-binary,71128,672,15227,18,0.262883173,,4,Medium
55,Male,65678,,36150,17,0.115938862,246099,4,Medium
27,Female,69456,,8640,15,0.196193511,67254,1,Low
29,Non-binary,61753,786,12724,14,0.456986604,186291,2,Low
40,Female,69876,645,33405,4,0.577496268,200151,1,Low
67,Male,96868,711,29518,19,0.305358899,,4,Low
35,Male,112675,705,38431,11,0.306627162,221276,2,Low
52,Female,75710,790,,19,0.458796368,228044,2,Low
21,Non-binary,104269,722,16901,19,0.323723571,25274,3,Low
28,Male,24122,632,,14,0.525827697,34590,2,Medium
35,Female,101540,653,11796,0,0.263503509,151385,0,Medium
49,Female,50158,770,35294,6,0.397390293,49457,3,High
55,Male,52863,704,32398,4,0.283694227,95056,0,Low
19,Female,104544,612,45000,8,0.353012153,,1,Low
49,Non-binary,87546,775,10243,3,0.529577922,255929,0,Low
65,Male,,681,14782,18,0.454259568,53388,4,High
39,Non-binary,116822,772,44060,17,0.340696204,26145,,Low
50,Female,70611,648,6475,12,0.589538405,,0,Medium
29,Male,47546,757,29491,9,0.266256513,289786,2,Medium
66,Male,60462,,49405,10,0.147035659,163235,4,Low
23,Non-binary,65174,752,33424,1,0.252718237,64623,0,Medium
66,Male,111876,683,16294,7,0.4854491,,3,Low
23,Non-binary,23236,701,27362,19,0.556220544,28531,2,Low
40,Non-binary,96034,775,15389,10,0.528386811,,,Low
46,Non-binary,108421,683,,8,0.160107947,54441,,Medium
50,Non-binary,52117,606,14324,7,0.327169311,,,Low
36,Non-binary,36285,722,,15,0.308256816,295877,2,Medium
63,Male,40653,650,,15,0.463834365,24092,1,Low
48,Female,99817,782,,17,0.229699055,274130,3,Medium
69,Female,85298,610,21294,10,0.366048784,29884,2,Medium
21,Female,,790,8970,12,0.455381483,259733,3,Medium
45,Male,41414,693,18582,1,0.517005629,176337,1,Low
54,Male,90112,753,8734,0,0.327720063,,0,Low
21,Female,35565,729,31576,12,0.236785107,,4,Medium
24,Non-binary,26123,,26469,15,0.526837817,254312,,Low
50,Male,76360,799,22975,3,0.560977388,65008,4,Medium
26,Female,108591,,46393,14,0.110011133,72591,2,Medium
57,Male,64783,635,,3,0.152675119,170959,1,Low
22,Female,27804,,,14,0.155944128,272028,4,Low
46,Non-binary,98346,793,24661,7,0.551953505,292897,,High
26,Male,44406,737,46033,2,0.228615243,158034,,Low
63,Female,83867,648,,4,0.102788647,196740,4,Low
27,Female,,628,37235,1,0.283524151,58146,3,High
27,Non-binary,77676,669,,2,0.248537111,,1,Medium
62,Non-binary,98313,602,36874,19,0.517467042,35809,,Low
59,Female,79757,694,14846,18,0.193695255,286088,2,Low
48,Non-binary,112024,615,41533,15,0.118543447,245190,0,Low
49,Male,81463,722,31833,1,0.301330127,115150,1,Medium
24,Female,118123,756,39852,4,0.322162202,76892,2,Medium
23,Non-binary,92436,737,,2,0.515547572,171965,,Low
26,Female,44583,768,18713,14,0.433670713,256628,0,Low
41,Non-binary,,,11661,8,0.171049531,,3,Low
65,Non-binary,95033,775,31483,17,0.285541476,33828,,Low
34,Male,69874,671,18830,19,0.387177921,249930,2,Low
39,Male,109342,,34552,19,0.466827676,235801,4,Low
56,Male,50985,,11460,16,0.308483931,,,Low
46,Non-binary,72492,624,30168,12,0.366403574,236472,,Low
48,Male,100570,,10833,7,0.211483728,72412,1,Low
31,Non-binary,31143,627,24045,14,0.445576297,133726,3,Low
55,Non-binary,115341,601,46345,6,0.46187574,90997,2,Low
46,Female,,628,28128,6,0.363869422,98541,1,Low
67,Non-binary,38179,658,40702,16,0.384675262,111858,4,Low
38,Female,67774,779,23114,0,0.18171663,163354,0,Low
61,Male,,608,,14,0.240255813,270060,2,Low
43,Non-binary,90220,712,20552,2,0.405605002,127550,3,Medium
53,Male,,609,24558,9,0.267791414,,3,Low
33,Male,47484,,46259,17,0.434128356,175374,4,Low
67,Male,24897,608,13809,4,0.42489642,,3,Low
61,Non-binary,86573,612,12284,13,0.146113543,135204,3,Medium
57,Female,115987,711,19327,9,0.408299746,62495,1,Medium
37,Male,,709,,9,0.442666998,248262,1,Low
55,Non-binary,31439,725,47120,2,0.105490934,179433,3,Medium
44,Female,,727,21114,16,0.477640334,164225,1,High
48,Male,113328,,38512,4,0.535035821,168749,4,High
